#,Clube,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
38,RB Leipzig,Dani Olmo,3.0,0.0,19.0,15.0,20.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
39,FC Bayern München,Kingsley Coman,3.0,3.0,23.0,18.0,16.67,6.96,6.96,Ataque,,,,,,,,,,,,,,
40,KRC Genk,Mbwana Ally Samatta,3.0,0.0,4.0,11.0,27.27,6.9,6.9,Ataque,,,,,,,,,,,,,,
41,Chelsea,Tammy Abraham,3.0,3.0,3.0,21.0,14.29,6.89,6.89,Ataque,,,,,,,,,,,,,,
42,Napoli,Arkadiusz Milik,3.0,5.0,2.0,12.0,25.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
43,Atlético Madrid,Álvaro Morata,3.0,5.0,5.0,13.0,23.08,6.88,6.88,Ataque,,,,,,,,,,,,,,
44,Olympiacos FC,Youssef El Arabi,3.0,1.0,2.0,5.0,60.0,6.7,6.7,Ataque,,,,,,,,,,,,,,
45,Manchester City,Kevin De Bruyne,2.0,0.0,14.0,16.0,12.5,7.81,7.81,Ataque,,,,,,,,,,,,,,
46,FC Bayern München,Joshua Kimmich,2.0,0.0,7.0,6.0,33.33,7.55,7.55,Ataque,,,,,,,,,,,,,,
47,AFC Ajax,Hakim Ziyech,2.0,1.0,13.0,19.0,10.53,7.5,7.5,Ataque,,,,,,,,,,,,,,
48,Manchester City,Phil Foden,2.0,0.0,8.0,7.0,28.57,7.42,7.42,Ataque,,,,,,,,,,,,,,
49,SK Slavia Praha,Tomáš Souček,2.0,1.0,3.0,14.0,14.29,7.37,7.37,Ataque,,,,,,,,,,,,,,
50,Manchester City,İlkay Gündoğan,2.0,0.0,7.0,15.0,13.33,7.32,7.32,Ataque,,,,,,,,,,,,,,
51,AFC Ajax,Donny van de Beek,2.0,0.0,4.0,8.0,25.0,7.32,7.32,Ataque,,,,,,,,,,,,,,
52,Borussia Dortmund,Jadon Sancho,2.0,1.0,24.0,18.0,11.11,7.31,7.31,Ataque,,,,,,,,,,,,,,
53,Napoli,Lorenzo Insigne,2.0,2.0,18.0,18.0,11.11,7.3,7.3,Ataque,,,,,,,,,,,,,,
54,Valencia,Ferran Torres,2.0,0.0,12.0,10.0,20.0,7.28,7.28,Ataque,,,,,,,,,,,,,,
55,Liverpool,Sadio Mané,2.0,3.0,22.0,18.0,11.11,7.25,7.25,Ataque,,,,,,,,,,,,,,
56,Borussia Dortmund,Julian Brandt,2.0,1.0,10.0,11.0,18.18,7.21,7.21,Ataque,,,,,,,,,,,,,,
57,Real Madrid,Sergio Ramos,2.0,0.0,0.0,7.0,28.57,7.2,7.2,Ataque,,,,,,,,,,,,,,
58,Paris Saint-Germain,Marquinhos,2.0,1.0,1.0,7.0,28.57,7.16,7.16,Ataque,,,,,,,,,,,,,,
59,Valencia,Rodrigo,2.0,5.0,9.0,22.0,9.09,7.15,7.15,Ataque,,,,,,,,,,,,,,
60,Paris Saint-Germain,Juan Bernat,2.0,1.0,17.0,4.0,50.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
61,Zenit St. Petersburg,Artem Dzyuba,2.0,0.0,6.0,7.0,28.57,7.15,7.15,Ataque,,,,,,,,,,,,,,
62,Atlético Madrid,Marcos Llorente,2.0,0.0,2.0,3.0,66.67,7.08,7.08,Ataque,,,,,,,,,,,,,,
63,Chelsea,César Azpilicueta,2.0,0.0,1.0,4.0,50.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
64,Juventus,Gonzalo Higuaín,2.0,2.0,11.0,16.0,12.5,7.05,7.05,Ataque,,,,,,,,,,,,,,
65,Liverpool,Georginio Wijnaldum,2.0,0.0,14.0,9.0,22.22,7.01,7.01,Ataque,,,,,,,,,,,,,,
66,Valencia,Kévin Gameiro,2.0,1.0,1.0,9.0,22.22,6.98,6.98,Ataque,,,,,,,,,,,,,,
67,Inter,Romelu Lukaku,2.0,4.0,5.0,9.0,22.22,6.98,6.98,Ataque,,,,,,,,,,,,,,
68,Lokomotiv Moscow,Aleksei Miranchuk,2.0,2.0,10.0,8.0,25.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
69,Paris Saint-Germain,Pablo Sarabia,2.0,1.0,2.0,9.0,22.22,6.96,6.96,Ataque,,,,,,,,,,,,,,
70,Shakhtar Donetsk,Júnior Moraes,2.0,3.0,7.0,14.0,14.29,6.95,6.95,Ataque,,,,,,,,,,,,,,
71,Chelsea,Jorginho,2.0,0.0,2.0,6.0,33.33,6.91,6.91,Ataque,,,,,,,,,,,,,,
72,Liverpool,Takumi Minamino,2.0,0.0,9.0,17.0,11.76,6.9,6.9,Ataque,,,,,,,,,,,,,,
73,Benfica,Haris Seferović,2.0,0.0,1.0,8.0,25.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
74,Olympique Lyonnais,Moussa Dembélé,2.0,0.0,11.0,13.0,15.38,6.88,6.88,Ataque,,,,,,,,,,,,,,
75,Manchester City,Sergio Agüero,2.0,5.0,4.0,9.0,22.22,6.87,6.87,Ataque,,,,,,,,,,,,,,
76,Olympiacos FC,Rúben Semedo,2.0,0.0,1.0,5.0,40.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
77,Lille,Victor Osimhen,2.0,3.0,5.0,15.0,13.33,6.84,6.84,Ataque,,,,,,,,,,,,,,
78,Zenit St. Petersburg,Sardar Azmoun,2.0,3.0,5.0,14.0,14.29,6.82,6.82,Ataque,,,,,,,,,,,,,,
79,Valencia,Denis Cheryshev,2.0,1.0,2.0,7.0,28.57,6.82,6.82,Ataque,,,,,,,,,,,,,,
80,Atalanta,Hans Hateboer,2.0,1.0,3.0,7.0,28.57,6.78,6.78,Ataque,,,,,,,,,,,,,,
81,Barcelona,Antoine Griezmann,2.0,2.0,7.0,10.0,20.0,6.74,6.74,Ataque,,,,,,,,,,,,,,
82,Shakhtar Donetsk,Manor Solomon,2.0,0.0,3.0,3.0,66.67,6.72,6.72,Ataque,,,,,,,,,,,,,,
83,Club Brugge KV,Emmanuel Dennis,2.0,2.0,16.0,16.0,12.5,6.72,6.72,Ataque,,,,,,,,,,,,,,
84,Real Madrid,Toni Kroos,1.0,1.0,7.0,14.0,7.14,7.97,7.97,Ataque,,,,,,,,,,,,,,
85,Atlético Madrid,Thomas Partey,1.0,0.0,15.0,15.0,6.67,7.61,7.61,Ataque,,,,,,,,,,,,,,
86,Juventus,Douglas Costa,1.0,0.0,4.0,1.0,100.0,7.6,7.6,Ataque,,,,,,,,,,,,,,
87,AFC Ajax,Nicolás Tagliafico,1.0,0.0,5.0,3.0,33.33,7.5,7.5,Ataque,,,,,,,,,,,,,,
88,Manchester City,Riyad Mahrez,1.0,2.0,12.0,13.0,7.69,7.46,7.46,Ataque,,,,,,,,,,,,,,
89,Chelsea,Willian,1.0,3.0,28.0,10.0,10.0,7.41,7.41,Ataque,,,,,,,,,,,,,,
90,Barcelona,Carles Pérez,1.0,0.0,1.0,4.0,25.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
91,Atalanta,Papu Gómez,1.0,1.0,16.0,16.0,6.25,7.37,7.37,Ataque,,,,,,,,,,,,,,
92,Liverpool,Naby Keïta,1.0,1.0,11.0,9.0,11.11,7.33,7.33,Ataque,,,,,,,,,,,,,,
93,Juventus,Juan Cuadrado,1.0,0.0,10.0,2.0,50.0,7.32,7.32,Ataque,,,,,,,,,,,,,,
94,Valencia,Dani Parejo,1.0,2.0,10.0,10.0,10.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
95,KRC Genk,Stephen Odey,1.0,0.0,0.0,1.0,100.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
96,Inter,Matías Vecino,1.0,0.0,2.0,5.0,20.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
97,Chelsea,Christian Pulišić,1.0,0.0,14.0,7.0,14.29,7.28,7.28,Ataque,,,,,,,,,,,,,,
98,Liverpool,Roberto Firmino,1.0,1.0,18.0,14.0,7.14,7.27,7.27,Ataque,,,,,,,,,,,,,,
99,Valencia,Geoffrey Kondogbia,1.0,0.0,3.0,6.0,16.67,7.26,7.26,Ataque,,,,,,,,,,,,,,
100,Tottenham Hotspur,Giovani Lo Celso,1.0,0.0,14.0,8.0,12.5,7.24,7.24,Ataque,,,,,,,,,,,,,,
101,Zenit St. Petersburg,Yaroslav Rakitskyi,1.0,0.0,8.0,2.0,50.0,7.22,7.22,Ataque,,,,,,,,,,,,,,
102,Bayer 04 Leverkusen,Sven Bender,1.0,0.0,0.0,3.0,33.33,7.22,7.22,Ataque,,,,,,,,,,,,,,
103,Liverpool,Dejan Lovren,1.0,0.0,0.0,2.0,50.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
104,Atlético Madrid,Felipe,1.0,0.0,0.0,4.0,25.0,7.19,7.19,Ataque,,,,,,,,,,,,,,
105,FC Bayern München,Leon Goretzka,1.0,2.0,3.0,21.0,4.76,7.17,7.17,Ataque,,,,,,,,,,,,,,
106,Tottenham Hotspur,Christian Eriksen,1.0,0.0,0.0,8.0,12.5,7.16,7.16,Ataque,,,,,,,,,,,,,,
107,Atlético Madrid,Saúl Ñíguez,1.0,0.0,12.0,16.0,6.25,7.14,7.14,Ataque,,,,,,,,,,,,,,
108,Real Madrid,Casemiro,1.0,0.0,7.0,12.0,8.33,7.14,7.14,Ataque,,,,,,,,,,,,,,
109,Paris Saint-Germain,Thomas Meunier,1.0,0.0,1.0,4.0,25.0,7.12,7.12,Ataque,,,,,,,,,,,,,,
110,Zenit St. Petersburg,Magomed Ozdoev,1.0,0.0,5.0,4.0,25.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
111,Benfica,Rafa Silva,1.0,0.0,4.0,3.0,33.33,7.1,7.1,Ataque,,,,,,,,,,,,,,
112,Olympique Lyonnais,Joachim Andersen,1.0,0.0,1.0,1.0,100.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
113,Chelsea,Mateo Kovačić,1.0,1.0,33.0,6.0,16.67,7.09,7.09,Ataque,,,,,,,,,,,,,,
114,Inter,Antonio Candreva,1.0,0.0,5.0,5.0,20.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
115,Olympique Lyonnais,Houssem Aouar,1.0,0.0,35.0,9.0,11.11,7.06,7.06,Ataque,,,,,,,,,,,,,,
116,Inter,Nicolò Barella,1.0,0.0,5.0,5.0,20.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
117,Atlético Madrid,Stefan Savić,1.0,0.0,0.0,4.0,25.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
118,Real Madrid,Vinícius Júnior,1.0,0.0,5.0,3.0,33.33,7.02,7.02,Ataque,,,,,,,,,,,,,,
119,Olympiacos FC,Guilherme,1.0,0.0,13.0,11.0,9.09,7.0,7.0,Ataque,,,,,,,,,,,,,,
120,Real Madrid,Isco,1.0,1.0,7.0,8.0,12.5,7.0,7.0,Ataque,,,,,,,,,,,,,,
121,Benfica,Raúl de Tomás,1.0,0.0,1.0,10.0,10.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
122,Olympique Lyonnais,Bertrand Traoré,1.0,0.0,11.0,9.0,11.11,6.96,6.96,Ataque,,,,,,,,,,,,,,
123,AFC Ajax,Edson Álvarez,1.0,0.0,0.0,6.0,16.67,6.95,6.95,Ataque,,,,,,,,,,,,,,
124,Atalanta,Robin Gosens,1.0,0.0,4.0,8.0,12.5,6.95,6.95,Ataque,,,,,,,,,,,,,,
125,RB Leipzig,Tyler Adams,1.0,0.0,2.0,2.0,50.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
126,Atalanta,Luis Muriel,1.0,0.0,6.0,14.0,7.14,6.92,6.92,Ataque,,,,,,,,,,,,,,
127,Red Bull Salzburg,Andreas Ulmer,1.0,0.0,5.0,5.0,20.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
128,Olympiacos FC,Mathieu Valbuena,1.0,0.0,0.0,2.0,50.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
129,Galatasaray,Adem Büyük,1.0,1.0,1.0,3.0,33.33,6.9,6.9,Ataque,,,,,,,,,,,,,,
130,Liverpool,Andrew Robertson,1.0,1.0,3.0,9.0,11.11,6.9,6.9,Ataque,,,,,,,,,,,,,,
131,Chelsea,Reece James,1.0,0.0,7.0,6.0,16.67,6.88,6.88,Ataque,,,,,,,,,,,,,,
132,Paris Saint-Germain,Eric Maxim Choupo-Moting,1.0,0.0,2.0,5.0,20.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
133,RB Leipzig,Konrad Laimer,1.0,1.0,11.0,8.0,12.5,6.87,6.87,Ataque,,,,,,,,,,,,,,
134,FK Crvena zvezda,Nemanja Milunović,1.0,0.0,1.0,3.0,33.33,6.87,6.87,Ataque,,,,,,,,,,,,,,
135,Olympique Lyonnais,Lucas Tousart,1.0,0.0,5.0,10.0,10.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
136,Barcelona,Clément Lenglet,1.0,1.0,1.0,3.0,33.33,6.85,6.85,Ataque,,,,,,,,,,,,,,
137,Lokomotiv Moscow,Grzegorz Krychowiak,1.0,3.0,6.0,13.0,7.69,6.83,6.83,Ataque,,,,,,,,,,,,,,
138,Olympiacos FC,Daniel Podence,1.0,2.0,18.0,11.0,9.09,6.83,6.83,Ataque,,,,,,,,,,,,,,
139,Olympique Lyonnais,Martin Terrier,1.0,0.0,5.0,3.0,33.33,6.82,6.82,Ataque,,,,,,,,,,,,,,
140,Club Brugge KV,Hans Vanaken,1.0,0.0,8.0,5.0,20.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
141,Shakhtar Donetsk,Alan Patrick,1.0,0.0,10.0,7.0,14.29,6.8,6.8,Ataque,,,,,,,,,,,,,,
142,Benfica,Franco Cervi,1.0,2.0,1.0,4.0,25.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
143,Atalanta,Ruslan Malinovskyi,1.0,0.0,8.0,6.0,16.67,6.8,6.8,Ataque,,,,,,,,,,,,,,
144,Shakhtar Donetsk,Tetê,1.0,1.0,2.0,5.0,20.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
145,Chelsea,Michy Batshuayi,1.0,2.0,1.0,10.0,10.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
146,Shakhtar Donetsk,Yevhen Konoplyanka,1.0,0.0,3.0,3.0,33.33,6.8,6.8,Ataque,,,,,,,,,,,,,,
147,Napoli,Diego Demme,1.0,1.0,3.0,4.0,25.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
148,GNK Dinamo Zagreb,Bruno Petković,1.0,1.0,15.0,4.0,25.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
149,Bayer 04 Leverkusen,Kevin Volland,1.0,1.0,5.0,11.0,9.09,6.78,6.78,Ataque,,,,,,,,,,,,,,
150,Tottenham Hotspur,Lucas Moura,1.0,1.0,11.0,7.0,14.29,6.77,6.77,Ataque,,,,,,,,,,,,,,
151,Tottenham Hotspur,Erik Lamela,1.0,3.0,7.0,9.0,11.11,6.76,6.76,Ataque,,,,,,,,,,,,,,
152,FK Crvena zvezda,Richmond Boakye,1.0,0.0,4.0,6.0,16.67,6.76,6.76,Ataque,,,,,,,,,,,,,,
153,Real Madrid,Luka Modrić,1.0,0.0,1.0,6.0,16.67,6.75,6.75,Ataque,,,,,,,,,,,,,,
154,Juventus,Blaise Matuidi,1.0,0.0,2.0,5.0,20.0,6.74,6.74,Ataque,,,,,,,,,,,,,,
155,GNK Dinamo Zagreb,Luka Ivanušec,1.0,0.0,4.0,1.0,100.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
156,KRC Genk,Jhon Lucumí,1.0,0.0,2.0,2.0,50.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
157,GNK Dinamo Zagreb,Marin Leovac,1.0,0.0,0.0,5.0,20.0,6.72,6.72,Ataque,,,,,,,,,,,,,,
158,Napoli,Hirving Lozano,1.0,1.0,6.0,12.0,8.33,6.7,6.7,Ataque,,,,,,,,,,,,,,
159,Tottenham Hotspur,Dele Alli,1.0,1.0,6.0,7.0,14.29,6.69,6.69,Ataque,,,,,,,,,,,,,,
160,Juventus,Federico Bernardeschi,1.0,1.0,6.0,5.0,20.0,6.68,6.68,Ataque,,,,,,,,,,,,,,
161,SK Slavia Praha,Peter Olayinka,1.0,1.0,11.0,7.0,14.29,6.68,6.68,Ataque,,,,,,,,,,,,,,
162,Napoli,Fernando Llorente,1.0,1.0,0.0,3.0,33.33,6.68,6.68,Ataque,,,,,,,,,,,,,,
163,Barcelona,Ansu Fati,1.0,0.0,1.0,2.0,50.0,6.68,6.68,Ataque,,,,,,,,,,,,,,
164,Red Bull Salzburg,Patson Daka,1.0,2.0,3.0,11.0,9.09,6.67,6.67,Ataque,,,,,,,,,,,,,,
165,Atlético Madrid,Héctor Herrera,1.0,0.0,1.0,3.0,33.33,6.67,6.67,Ataque,,,,,,,,,,,,,,
166,Valencia,Daniel Wass,1.0,0.0,2.0,6.0,16.67,6.66,6.66,Ataque,,,,,,,,,,,,,,
167,Tottenham Hotspur,Serge Aurier,1.0,0.0,5.0,1.0,100.0,6.66,6.66,Ataque,,,,,,,,,,,,,,
168,GNK Dinamo Zagreb,Arijan Ademi,1.0,0.0,7.0,2.0,50.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
169,Atalanta,Remo Freuler,1.0,0.0,5.0,5.0,20.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
170,FK Crvena zvezda,Miloš Vulić,1.0,0.0,1.0,5.0,20.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
171,Club Brugge KV,Krépin Diatta,1.0,0.0,11.0,5.0,20.0,6.62,6.62,Ataque,,,,,,,,,,,,,,
172,Olympique Lyonnais,Maxwel Cornet,1.0,1.0,7.0,6.0,16.67,6.61,6.61,Ataque,,,,,,,,,,,,,,
173,Lille,Jonathan Ikoné,1.0,2.0,9.0,6.0,16.67,6.6,6.6,Ataque,,,,,,,,,,,,,,
174,Lille,Loïc Rémy,1.0,1.0,2.0,9.0,11.11,6.6,6.6,Ataque,,,,,,,,,,,,,,
175,Juventus,Aaron Ramsey,1.0,0.0,0.0,3.0,33.33,6.6,6.6,Ataque,,,,,,,,,,,,,,
176,SK Slavia Praha,Jan Bořil,1.0,0.0,3.0,5.0,20.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
177,Lokomotiv Moscow,Dmitriy Barinov,1.0,0.0,2.0,6.0,16.67,6.58,6.58,Ataque,,,,,,,,,,,,,,
178,Paris Saint-Germain,Edinson Cavani,1.0,1.0,0.0,3.0,33.33,6.57,6.57,Ataque,,,,,,,,,,,,,,
179,Atalanta,Timothy Castagne,1.0,2.0,2.0,3.0,33.33,6.57,6.57,Ataque,,,,,,,,,,,,,,
180,Atalanta,Duván Zapata,1.0,3.0,3.0,9.0,11.11,6.54,6.54,Ataque,,,,,,,,,,,,,,
181,Benfica,Carlos Vinícius,1.0,1.0,1.0,5.0,20.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
182,Shakhtar Donetsk,Dodô,1.0,0.0,7.0,2.0,50.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
183,Valencia,Carlos Soler,1.0,1.0,2.0,6.0,16.67,6.52,6.52,Ataque,,,,,,,,,,,,,,
184,Tottenham Hotspur,Ryan Sessegnon,1.0,0.0,1.0,3.0,33.33,6.43,6.43,Ataque,,,,,,,,,,,,,,
185,Red Bull Salzburg,Dominik Szoboszlai,1.0,1.0,2.0,12.0,8.33,6.4,6.4,Ataque,,,,,,,,,,,,,,
186,Barcelona,Neto,0.0,0.0,0.0,0.0,0.0,8.0,8.0,Ataque,,,,,,,,,,,,,,
187,Barcelona,Jean-Clair Todibo,0.0,0.0,2.0,1.0,0.0,7.7,7.7,Ataque,,,,,,,,,,,,,,
188,FC Bayern München,Thiago Alcântara,0.0,2.0,13.0,7.0,0.0,7.6,7.6,Ataque,,,,,,,,,,,,,,
189,Juventus,Merih Demiral,0.0,0.0,1.0,0.0,0.0,7.6,7.6,Ataque,,,,,,,,,,,,,,
190,Real Madrid,Marcelo,0.0,0.0,3.0,8.0,0.0,7.5,7.5,Ataque,,,,,,,,,,,,,,
191,AFC Ajax,André Onana,0.0,0.0,0.0,0.0,0.0,7.47,7.47,Ataque,,,,,,,,,,,,,,
192,Juventus,Alex Sandro,0.0,0.0,9.0,6.0,0.0,7.45,7.45,Ataque,,,,,,,,,,,,,,
193,Zenit St. Petersburg,Andrey Lunev,0.0,0.0,0.0,0.0,0.0,7.45,7.45,Ataque,,,,,,,,,,,,,,
194,Juventus,Gianluigi Buffon,0.0,0.0,0.0,0.0,0.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
195,FC Bayern München,Alphonso Davies,0.0,0.0,26.0,8.0,0.0,7.35,7.35,Ataque,,,,,,,,,,,,,,
196,SK Slavia Praha,Ondřej Kolář,0.0,0.0,1.0,0.0,0.0,7.35,7.35,Ataque,,,,,,,,,,,,,,
197,Liverpool,Trent Alexander-Arnold,0.0,0.0,3.0,6.0,0.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
198,Zenit St. Petersburg,Mikhail Kerzhakov,0.0,0.0,0.0,0.0,0.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
199,Valencia,Gabriel Paulista,0.0,0.0,1.0,4.0,0.0,7.32,7.32,Ataque,,,,,,,,,,,,,,
200,Barcelona,Carles Aleñá,0.0,0.0,3.0,0.0,0.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
201,Lokomotiv Moscow,Guilherme Marinato,0.0,0.0,0.0,0.0,0.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
202,Galatasaray,Fernando Muslera,0.0,0.0,0.0,0.0,0.0,7.28,7.28,Ataque,,,,,,,,,,,,,,
203,Tottenham Hotspur,Paulo Gazzaniga,0.0,0.0,0.0,0.0,0.0,7.28,7.28,Ataque,,,,,,,,,,,,,,
204,RB Leipzig,Dayot Upamecano,0.0,0.0,15.0,8.0,0.0,7.28,7.28,Ataque,,,,,,,,,,,,,,
205,Paris Saint-Germain,Keylor Navas,0.0,0.0,1.0,0.0,0.0,7.26,7.26,Ataque,,,,,,,,,,,,,,
206,Chelsea,Fikayo Tomori,0.0,0.0,4.0,4.0,0.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
