#,Clube,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
17,FC Bayern München,Joshua Kimmich,4.0,0.0,2.0,7.0,57.14,7.59,7.59,Ataque,,,,,,,,,,,,,,
18,Paris Saint-Germain,Kylian Mbappé,4.0,5.0,27.0,24.0,16.67,7.49,7.49,Ataque,,,,,,,,,,,,,,
19,Beşiktaş,Cenk Tosun,4.0,1.0,9.0,15.0,26.67,7.28,7.28,Ataque,,,,,,,,,,,,,,
20,Manchester City,Raheem Sterling,4.0,1.0,24.0,10.0,40.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
21,Juventus,Mario Mandžukić,4.0,3.0,1.0,15.0,26.67,7.2,7.2,Ataque,,,,,,,,,,,,,,
22,Manchester City,Sergio Agüero,4.0,3.0,7.0,24.0,16.67,7.13,7.13,Ataque,,,,,,,,,,,,,,
23,Tottenham Hotspur,Heung-min Son,4.0,2.0,6.0,25.0,16.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
24,Borussia Dortmund,Pierre-Emerick Aubameyang,4.0,6.0,3.0,23.0,17.39,7.05,7.05,Ataque,,,,,,,,,,,,,,
25,Manchester City,Gabriel Jesus,4.0,1.0,2.0,11.0,36.36,7.03,7.03,Ataque,,,,,,,,,,,,,,
26,Basel,Dimitri Oberlin,4.0,4.0,9.0,17.0,23.53,6.98,6.98,Ataque,,,,,,,,,,,,,,
27,Beşiktaş,Anderson Talisca,4.0,0.0,7.0,14.0,28.57,6.86,6.86,Ataque,,,,,,,,,,,,,,
28,Manchester City,John Stones,3.0,0.0,3.0,4.0,75.0,7.92,7.92,Ataque,,,,,,,,,,,,,,
29,Chelsea,Eden Hazard,3.0,1.0,34.0,22.0,13.64,7.79,7.79,Ataque,,,,,,,,,,,,,,
30,FC Bayern München,Thiago Alcântara,3.0,0.0,19.0,9.0,33.33,7.57,7.57,Ataque,,,,,,,,,,,,,,
31,FC Bayern München,Corentin Tolisso,3.0,0.0,4.0,13.0,23.08,7.54,7.54,Ataque,,,,,,,,,,,,,,
32,Napoli,Lorenzo Insigne,3.0,0.0,8.0,16.0,18.75,7.46,7.46,Ataque,,,,,,,,,,,,,,
33,Real Madrid,Gareth Bale,3.0,2.0,3.0,11.0,27.27,7.46,7.46,Ataque,,,,,,,,,,,,,,
34,Roma,Diego Perotti,3.0,2.0,37.0,18.0,16.67,7.38,7.38,Ataque,,,,,,,,,,,,,,
35,Paris Saint-Germain,Layvin Kurzawa,3.0,0.0,3.0,4.0,75.0,7.37,7.37,Ataque,,,,,,,,,,,,,,
36,Real Madrid,Marcelo,3.0,0.0,10.0,10.0,30.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
37,Chelsea,Willian,3.0,1.0,26.0,14.0,21.43,7.28,7.28,Ataque,,,,,,,,,,,,,,
38,AS Monaco,Radamel Falcao,3.0,1.0,7.0,13.0,23.08,7.24,7.24,Ataque,,,,,,,,,,,,,,
39,FC Bayern München,Thomas Müller,3.0,4.0,6.0,23.0,13.04,7.16,7.16,Ataque,,,,,,,,,,,,,,
40,Manchester United,Marcus Rashford,3.0,1.0,17.0,19.0,15.79,7.11,7.11,Ataque,,,,,,,,,,,,,,
41,Basel,Michael Lang,3.0,0.0,7.0,8.0,37.5,7.1,7.1,Ataque,,,,,,,,,,,,,,
42,RB Leipzig,Timo Werner,3.0,2.0,6.0,12.0,25.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
43,Shakhtar Donetsk,Facundo Ferreyra,3.0,4.0,2.0,19.0,15.79,6.95,6.95,Ataque,,,,,,,,,,,,,,
44,Shakhtar Donetsk,Bernard,3.0,1.0,17.0,6.0,50.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
45,Paris Saint-Germain,Marco Verratti,2.0,0.0,9.0,4.0,50.0,7.58,7.58,Ataque,,,,,,,,,,,,,,
46,FC Bayern München,Kingsley Coman,2.0,0.0,18.0,10.0,20.0,7.56,7.56,Ataque,,,,,,,,,,,,,,
47,RB Leipzig,Naby Keïta,2.0,1.0,24.0,13.0,15.38,7.56,7.56,Ataque,,,,,,,,,,,,,,
48,Tottenham Hotspur,Dele Alli,2.0,1.0,12.0,8.0,25.0,7.46,7.46,Ataque,,,,,,,,,,,,,,
49,Napoli,Dries Mertens,2.0,2.0,5.0,17.0,11.76,7.42,7.42,Ataque,,,,,,,,,,,,,,
50,Atlético Madrid,Antoine Griezmann,2.0,1.0,5.0,18.0,11.11,7.38,7.38,Ataque,,,,,,,,,,,,,,
51,Paris Saint-Germain,Dani Alves,2.0,0.0,12.0,5.0,40.0,7.35,7.35,Ataque,,,,,,,,,,,,,,
52,Tottenham Hotspur,Christian Eriksen,2.0,2.0,4.0,20.0,10.0,7.32,7.32,Ataque,,,,,,,,,,,,,,
53,Manchester City,İlkay Gündoğan,2.0,1.0,10.0,13.0,15.38,7.26,7.26,Ataque,,,,,,,,,,,,,,
54,Roma,Radja Nainggolan,2.0,1.0,13.0,24.0,8.33,7.21,7.21,Ataque,,,,,,,,,,,,,,
55,FC Spartak Moscow,Quincy Promes,2.0,0.0,9.0,18.0,11.11,7.2,7.2,Ataque,,,,,,,,,,,,,,
56,CSKA Moscow,Vitinho,2.0,0.0,11.0,21.0,9.52,7.18,7.18,Ataque,,,,,,,,,,,,,,
57,Sporting,Bas Dost,2.0,3.0,1.0,8.0,25.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
58,Basel,Mohamed Elyounoussi,2.0,2.0,17.0,21.0,9.52,7.08,7.08,Ataque,,,,,,,,,,,,,,
59,Roma,Stephan El Shaarawy,2.0,1.0,5.0,12.0,16.67,7.06,7.06,Ataque,,,,,,,,,,,,,,
60,Roma,Konstantinos Manolas,2.0,3.0,1.0,7.0,28.57,7.04,7.04,Ataque,,,,,,,,,,,,,,
61,Feyenoord,Nicolai Jørgensen,2.0,0.0,6.0,8.0,25.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
62,Shakhtar Donetsk,Marlos Romero,2.0,0.0,21.0,13.0,15.38,7.0,7.0,Ataque,,,,,,,,,,,,,,
63,FC Spartak Moscow,Zé Luís,2.0,1.0,2.0,7.0,28.57,6.97,6.97,Ataque,,,,,,,,,,,,,,
64,Olympiacos FC,Felipe Pardo,2.0,0.0,3.0,5.0,40.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
65,Liverpool,Alex Oxlade-Chamberlain,2.0,0.0,10.0,10.0,20.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
66,Napoli,Piotr Zieliński,2.0,0.0,5.0,5.0,40.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
67,RB Leipzig,Emil Forsberg,2.0,0.0,14.0,12.0,16.67,6.94,6.94,Ataque,,,,,,,,,,,,,,
68,Chelsea,Michy Batshuayi,2.0,1.0,0.0,5.0,40.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
69,Sporting,Bruno César,2.0,0.0,2.0,6.0,33.33,6.8,6.8,Ataque,,,,,,,,,,,,,,
70,Beşiktaş,Ryan Babel,2.0,0.0,9.0,7.0,28.57,6.79,6.79,Ataque,,,,,,,,,,,,,,
71,APOEL Nicosia,Mickaël Poté,2.0,1.0,4.0,6.0,33.33,6.78,6.78,Ataque,,,,,,,,,,,,,,
72,Sevilla,Éver Banega,1.0,0.0,30.0,11.0,9.09,7.8,7.8,Ataque,,,,,,,,,,,,,,
73,Napoli,Jorginho,1.0,0.0,2.0,2.0,50.0,7.6,7.6,Ataque,,,,,,,,,,,,,,
74,Manchester City,Kevin De Bruyne,1.0,1.0,17.0,17.0,5.88,7.53,7.53,Ataque,,,,,,,,,,,,,,
75,Manchester United,Daley Blind,1.0,0.0,1.0,3.0,33.33,7.5,7.5,Ataque,,,,,,,,,,,,,,
76,Chelsea,Cesc Fàbregas,1.0,1.0,2.0,6.0,16.67,7.46,7.46,Ataque,,,,,,,,,,,,,,
77,Atlético Madrid,Saúl Ñíguez,1.0,3.0,8.0,17.0,5.88,7.45,7.45,Ataque,,,,,,,,,,,,,,
78,Barcelona,Lucas Digne,1.0,1.0,3.0,1.0,100.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
79,Shakhtar Donetsk,Fred,1.0,0.0,23.0,13.0,7.69,7.36,7.36,Ataque,,,,,,,,,,,,,,
80,Feyenoord,Steven Berghuis,1.0,1.0,7.0,14.0,7.14,7.35,7.35,Ataque,,,,,,,,,,,,,,
81,Real Madrid,Casemiro,1.0,0.0,13.0,7.0,14.29,7.33,7.33,Ataque,,,,,,,,,,,,,,
82,FC Bayern München,James Rodríguez,1.0,2.0,10.0,20.0,5.0,7.32,7.32,Ataque,,,,,,,,,,,,,,
83,Sporting,Bruno Fernandes,1.0,1.0,9.0,20.0,5.0,7.32,7.32,Ataque,,,,,,,,,,,,,,
84,Sevilla,Ganso,1.0,0.0,0.0,2.0,50.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
85,Manchester City,Nicolás Otamendi,1.0,1.0,1.0,5.0,20.0,7.28,7.28,Ataque,,,,,,,,,,,,,,
86,FC Porto,Miguel Layún,1.0,0.0,4.0,1.0,100.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
87,Borussia Dortmund,Andriy Yarmolenko,1.0,1.0,8.0,9.0,11.11,7.24,7.24,Ataque,,,,,,,,,,,,,,
88,FC Bayern München,Mats Hummels,1.0,1.0,8.0,19.0,5.26,7.23,7.23,Ataque,,,,,,,,,,,,,,
89,Juventus,Paulo Dybala,1.0,2.0,10.0,33.0,3.03,7.23,7.23,Ataque,,,,,,,,,,,,,,
90,FC Porto,Danilo Pereira,1.0,0.0,2.0,10.0,10.0,7.22,7.22,Ataque,,,,,,,,,,,,,,
91,Manchester City,Bernardo Silva,1.0,0.0,20.0,10.0,10.0,7.21,7.21,Ataque,,,,,,,,,,,,,,
92,Real Madrid,Sergio Ramos,1.0,2.0,4.0,16.0,6.25,7.21,7.21,Ataque,,,,,,,,,,,,,,
93,Juventus,Juan Cuadrado,1.0,1.0,9.0,5.0,20.0,7.18,7.18,Ataque,,,,,,,,,,,,,,
94,Borussia Dortmund,Sokratis,1.0,0.0,4.0,2.0,50.0,7.18,7.18,Ataque,,,,,,,,,,,,,,
95,Juventus,Miralem Pjanić,1.0,0.0,8.0,4.0,25.0,7.16,7.16,Ataque,,,,,,,,,,,,,,
96,Sevilla,Joaquín Correa,1.0,0.0,21.0,17.0,5.88,7.15,7.15,Ataque,,,,,,,,,,,,,,
97,Beşiktaş,Vágner Love,1.0,0.0,4.0,3.0,33.33,7.15,7.15,Ataque,,,,,,,,,,,,,,
98,Barcelona,Ivan Rakitić,1.0,0.0,4.0,5.0,20.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
99,FC Porto,Felipe,1.0,0.0,3.0,4.0,25.0,7.14,7.14,Ataque,,,,,,,,,,,,,,
100,Atlético Madrid,Thomas Partey,1.0,0.0,8.0,7.0,14.29,7.13,7.13,Ataque,,,,,,,,,,,,,,
101,Manchester United,Anthony Martial,1.0,4.0,20.0,11.0,9.09,7.13,7.13,Ataque,,,,,,,,,,,,,,
102,Real Madrid,Lucas Vázquez,1.0,2.0,11.0,6.0,16.67,7.12,7.12,Ataque,,,,,,,,,,,,,,
103,Sevilla,Clément Lenglet,1.0,1.0,2.0,9.0,11.11,7.12,7.12,Ataque,,,,,,,,,,,,,,
104,Basel,Luca Zuffi,1.0,0.0,8.0,4.0,25.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
105,Roma,Aleksandar Kolarov,1.0,0.0,26.0,16.0,6.25,7.1,7.1,Ataque,,,,,,,,,,,,,,
106,Manchester United,Henrikh Mkhitaryan,1.0,4.0,3.0,8.0,12.5,7.1,7.1,Ataque,,,,,,,,,,,,,,
107,Napoli,José Callejón,1.0,1.0,0.0,6.0,16.67,7.08,7.08,Ataque,,,,,,,,,,,,,,
108,RSC Anderlecht,Sofiane Hanni,1.0,0.0,6.0,10.0,10.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
109,Real Madrid,Nacho Fernández,1.0,0.0,4.0,5.0,20.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
110,FC Porto,Alex Telles,1.0,0.0,7.0,1.0,100.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
111,Liverpool,Trent Alexander-Arnold,1.0,0.0,5.0,8.0,12.5,7.06,7.06,Ataque,,,,,,,,,,,,,,
112,Roma,Daniele De Rossi,1.0,0.0,1.0,3.0,33.33,7.05,7.05,Ataque,,,,,,,,,,,,,,
113,Liverpool,Emre Can,1.0,1.0,8.0,7.0,14.29,7.04,7.04,Ataque,,,,,,,,,,,,,,
114,Borussia Dortmund,Raphaël Guerreiro,1.0,0.0,2.0,2.0,50.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
115,FC Bayern München,Sandro Wagner,1.0,0.0,2.0,2.0,50.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
116,Chelsea,Pedro,1.0,1.0,7.0,8.0,12.5,7.03,7.03,Ataque,,,,,,,,,,,,,,
117,AS Monaco,Youri Tielemans,1.0,1.0,2.0,5.0,20.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
118,Barcelona,Gerard Piqué,1.0,0.0,0.0,3.0,33.33,7.02,7.02,Ataque,,,,,,,,,,,,,,
119,Chelsea,César Azpilicueta,1.0,0.0,1.0,1.0,100.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
120,Real Madrid,Luka Modrić,1.0,1.0,16.0,9.0,11.11,7.01,7.01,Ataque,,,,,,,,,,,,,,
121,Napoli,Arkadiusz Milik,1.0,1.0,0.0,5.0,20.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
122,Celtic,Moussa Dembélé,1.0,1.0,4.0,8.0,12.5,7.0,7.0,Ataque,,,,,,,,,,,,,,
123,Juventus,Federico Bernardeschi,1.0,0.0,1.0,8.0,12.5,7.0,7.0,Ataque,,,,,,,,,,,,,,
124,Real Madrid,Marco Asensio,1.0,1.0,9.0,9.0,11.11,6.99,6.99,Ataque,,,,,,,,,,,,,,
125,Shakhtar Donetsk,Taison,1.0,2.0,21.0,17.0,5.88,6.99,6.99,Ataque,,,,,,,,,,,,,,
126,Basel,Taulant Xhaka,1.0,0.0,9.0,3.0,33.33,6.98,6.98,Ataque,,,,,,,,,,,,,,
127,Manchester United,Marouane Fellaini,1.0,0.0,1.0,7.0,14.29,6.97,6.97,Ataque,,,,,,,,,,,,,,
128,Sevilla,Simon Kjær,1.0,0.0,1.0,4.0,25.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
129,Olympiacos FC,Vadis Odjidja-Ofoe,1.0,0.0,14.0,7.0,14.29,6.95,6.95,Ataque,,,,,,,,,,,,,,
130,FC Bayern München,Javi Martínez,1.0,1.0,2.0,13.0,7.69,6.95,6.95,Ataque,,,,,,,,,,,,,,
131,Sporting,Seydou Doumbia,1.0,2.0,1.0,2.0,50.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
132,FC Porto,Maxi Pereira,1.0,0.0,5.0,2.0,50.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
133,Benfica,Haris Seferović,1.0,0.0,1.0,8.0,12.5,6.93,6.93,Ataque,,,,,,,,,,,,,,
134,Paris Saint-Germain,Ángel Di María,1.0,1.0,6.0,7.0,14.29,6.92,6.92,Ataque,,,,,,,,,,,,,,
135,CSKA Moscow,Pontus Wernbloom,1.0,0.0,1.0,6.0,16.67,6.92,6.92,Ataque,,,,,,,,,,,,,,
136,NK Maribor,Damjan Bohar,1.0,0.0,7.0,11.0,9.09,6.92,6.92,Ataque,,,,,,,,,,,,,,
137,Paris Saint-Germain,Adrien Rabiot,1.0,0.0,10.0,4.0,25.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
138,Sevilla,Pablo Sarabia,1.0,2.0,13.0,22.0,4.55,6.9,6.9,Ataque,,,,,,,,,,,,,,
139,Real Madrid,Borja Mayoral,1.0,1.0,1.0,4.0,25.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
140,FC Porto,Yacine Brahimi,1.0,0.0,36.0,8.0,12.5,6.9,6.9,Ataque,,,,,,,,,,,,,,
141,Tottenham Hotspur,Georges-Kévin N'Koudou,1.0,2.0,7.0,7.0,14.29,6.9,6.9,Ataque,,,,,,,,,,,,,,
142,Barcelona,Paco Alcácer,1.0,0.0,0.0,3.0,33.33,6.9,6.9,Ataque,,,,,,,,,,,,,,
143,Olympiacos FC,Dimitris Nikolaou,1.0,0.0,0.0,2.0,50.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
144,FC Spartak Moscow,Luiz Adriano,1.0,0.0,6.0,6.0,16.67,6.88,6.88,Ataque,,,,,,,,,,,,,,
145,Chelsea,Tiemoué Bakayoko,1.0,0.0,4.0,8.0,12.5,6.88,6.88,Ataque,,,,,,,,,,,,,,
146,Napoli,Amadou Diawara,1.0,0.0,3.0,5.0,20.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
147,Feyenoord,Jeremiah St. Juste,1.0,0.0,3.0,1.0,100.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
148,FC Porto,Héctor Herrera,1.0,1.0,4.0,7.0,14.29,6.85,6.85,Ataque,,,,,,,,,,,,,,
149,Chelsea,Davide Zappacosta,1.0,0.0,5.0,7.0,14.29,6.84,6.84,Ataque,,,,,,,,,,,,,,
150,Barcelona,Luis Suárez,1.0,5.0,9.0,32.0,3.13,6.83,6.83,Ataque,,,,,,,,,,,,,,
151,Liverpool,Georginio Wijnaldum,1.0,2.0,14.0,12.0,8.33,6.83,6.83,Ataque,,,,,,,,,,,,,,
152,NK Maribor,Marcos Tavares,1.0,0.0,5.0,10.0,10.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
153,Liverpool,Daniel Sturridge,1.0,3.0,2.0,4.0,25.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
154,FC Porto,Iván Marcano,1.0,0.0,1.0,5.0,20.0,6.79,6.79,Ataque,,,,,,,,,,,,,,
155,CSKA Moscow,Alan Dzagoev,1.0,1.0,4.0,10.0,10.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
156,Chelsea,David Luiz,1.0,0.0,2.0,4.0,25.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
157,NK Maribor,Jasmin Mešanović,1.0,0.0,1.0,2.0,50.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
158,Atlético Madrid,Kévin Gameiro,1.0,2.0,1.0,6.0,16.67,6.77,6.77,Ataque,,,,,,,,,,,,,,
159,Basel,Ricky van Wolfswinkel,1.0,0.0,0.0,3.0,33.33,6.77,6.77,Ataque,,,,,,,,,,,,,,
160,RB Leipzig,Willi Orbán,1.0,0.0,0.0,2.0,50.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
161,FC Spartak Moscow,Lorenzo Melgarejo,1.0,0.0,1.0,7.0,14.29,6.76,6.76,Ataque,,,,,,,,,,,,,,
162,Tottenham Hotspur,Fernando Llorente,1.0,1.0,1.0,5.0,20.0,6.76,6.76,Ataque,,,,,,,,,,,,,,
163,Qarabağ,Michel,1.0,1.0,9.0,5.0,20.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
164,Shakhtar Donetsk,Ismaily,1.0,0.0,15.0,4.0,25.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
165,Beşiktaş,Álvaro Negredo,1.0,0.0,0.0,1.0,100.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
166,Barcelona,Ousmane Dembélé,1.0,0.0,3.0,3.0,33.33,6.73,6.73,Ataque,,,,,,,,,,,,,,
167,FC Spartak Moscow,Fernando,1.0,1.0,2.0,7.0,14.29,6.73,6.73,Ataque,,,,,,,,,,,,,,
168,FC Porto,Tiquinho Soares,1.0,1.0,0.0,11.0,9.09,6.7,6.7,Ataque,,,,,,,,,,,,,,
169,Celtic,Leigh Griffiths,1.0,0.0,1.0,3.0,33.33,6.7,6.7,Ataque,,,,,,,,,,,,,,
170,FC Spartak Moscow,Denis Glushakov,1.0,1.0,3.0,8.0,12.5,6.7,6.7,Ataque,,,,,,,,,,,,,,
171,Feyenoord,Sofyan Amrabat,1.0,0.0,11.0,2.0,50.0,6.7,6.7,Ataque,,,,,,,,,,,,,,
172,Juventus,Blaise Matuidi,1.0,0.0,2.0,4.0,25.0,6.7,6.7,Ataque,,,,,,,,,,,,,,
173,Basel,Blás Riveros,1.0,1.0,5.0,6.0,16.67,6.68,6.68,Ataque,,,,,,,,,,,,,,
174,AS Monaco,Kamil Glik,1.0,0.0,1.0,4.0,25.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
175,CSKA Moscow,Georgi Schennikov,1.0,0.0,1.0,2.0,50.0,6.64,6.64,Ataque,,,,,,,,,,,,,,
176,Celtic,Callum McGregor,1.0,0.0,1.0,2.0,50.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
177,Roma,Cengiz Ünder,1.0,0.0,4.0,5.0,20.0,6.62,6.62,Ataque,,,,,,,,,,,,,,
178,Sevilla,Guido Pizarro,1.0,0.0,4.0,4.0,25.0,6.61,6.61,Ataque,,,,,,,,,,,,,,
179,CSKA Moscow,Timur Zhamaletdinov,1.0,0.0,1.0,3.0,33.33,6.58,6.58,Ataque,,,,,,,,,,,,,,
180,RB Leipzig,Jean-Kévin Augustin,1.0,2.0,5.0,13.0,7.69,6.54,6.54,Ataque,,,,,,,,,,,,,,
181,CSKA Moscow,Konstantin Kuchaev,1.0,1.0,1.0,3.0,33.33,6.54,6.54,Ataque,,,,,,,,,,,,,,
182,FC Spartak Moscow,Aleksandr Samedov,1.0,1.0,2.0,3.0,33.33,6.5,6.5,Ataque,,,,,,,,,,,,,,
183,AS Monaco,Rony Lopes,1.0,0.0,6.0,8.0,12.5,6.46,6.46,Ataque,,,,,,,,,,,,,,
184,Chelsea,Álvaro Morata,1.0,7.0,6.0,21.0,4.76,6.44,6.44,Ataque,,,,,,,,,,,,,,
185,Qarabağ,Pedro Henrique,1.0,0.0,7.0,6.0,16.67,6.43,6.43,Ataque,,,,,,,,,,,,,,
186,Sporting,Gelson Martins,1.0,3.0,12.0,7.0,14.29,6.42,6.42,Ataque,,,,,,,,,,,,,,
187,Celtic,Patrick Roberts,1.0,0.0,6.0,4.0,25.0,6.37,6.37,Ataque,,,,,,,,,,,,,,
188,Celtic,Scott Sinclair,1.0,1.0,9.0,5.0,20.0,6.34,6.34,Ataque,,,,,,,,,,,,,,
189,Beşiktaş,Orkan Çınar,0.0,0.0,1.0,2.0,0.0,7.7,7.7,Ataque,,,,,,,,,,,,,,
190,Tottenham Hotspur,Kieran Trippier,0.0,0.0,2.0,0.0,0.0,7.67,7.67,Ataque,,,,,,,,,,,,,,
191,Beşiktaş,Tolga Zengin,0.0,0.0,0.0,0.0,0.0,7.55,7.55,Ataque,,,,,,,,,,,,,,
192,Juventus,Wojciech Szczęsny,0.0,0.0,0.0,0.0,0.0,7.5,7.5,Ataque,,,,,,,,,,,,,,
193,Sevilla,David Soria,0.0,0.0,0.0,0.0,0.0,7.45,7.45,Ataque,,,,,,,,,,,,,,
194,Manchester United,Luke Shaw,0.0,0.0,4.0,2.0,0.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
195,Barcelona,Thomas Vermaelen,0.0,0.0,0.0,0.0,0.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
196,Real Madrid,Toni Kroos,0.0,0.0,2.0,8.0,0.0,7.38,7.38,Ataque,,,,,,,,,,,,,,
197,Liverpool,Alberto Moreno,0.0,0.0,2.0,7.0,0.0,7.34,7.34,Ataque,,,,,,,,,,,,,,
198,Manchester United,David De Gea,0.0,0.0,0.0,0.0,0.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
199,Atlético Madrid,Filipe Luís,0.0,1.0,10.0,6.0,0.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
200,Real Madrid,Daniel Carvajal,0.0,1.0,10.0,5.0,0.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
201,Barcelona,Andrés Iniesta,0.0,0.0,16.0,8.0,0.0,7.31,7.31,Ataque,,,,,,,,,,,,,,
202,Tottenham Hotspur,Juan Foyth,0.0,0.0,1.0,1.0,0.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
203,Barcelona,Jasper Cillessen,0.0,0.0,0.0,0.0,0.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
204,FC Spartak Moscow,Ilya Kutepov,0.0,0.0,0.0,0.0,0.0,7.27,7.27,Ataque,,,,,,,,,,,,,,
205,Qarabağ,Ibrahim Šehić,0.0,0.0,0.0,0.0,0.0,7.27,7.27,Ataque,,,,,,,,,,,,,,
206,Manchester United,Victor Lindelöf,0.0,0.0,2.0,0.0,0.0,7.26,7.26,Ataque,,,,,,,,,,,,,,
207,Manchester United,Ashley Young,0.0,0.0,3.0,2.0,0.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
208,Sevilla,Nicolás Pareja,0.0,0.0,0.0,0.0,0.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
